transaction_id,account_id,direction,amount,currency,counterparty_name,counterparty_account,counterparty_country,channel,txn_timestamp
TXN_000085,ACC_000004,DEBIT,1212.59,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-02 09:00:00
TXN_000009,ACC_000001,DEBIT,857.74,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-03 09:00:00
TXN_000034,ACC_000002,DEBIT,3901.61,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-03 09:00:00
TXN_000112,ACC_000005,DEBIT,2681.04,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-03 09:00:00
TXN_000010,ACC_000001,DEBIT,3466.23,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-04 09:00:00
TXN_000060,ACC_000003,CREDIT,677.06,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-04 09:00:00
TXN_000086,ACC_000004,DEBIT,1378.92,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-04 09:00:00
TXN_000113,ACC_000005,DEBIT,2274.93,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-04 09:00:00
TXN_000061,ACC_000003,CREDIT,3742.28,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-05 09:00:00
TXN_000087,ACC_000004,DEBIT,3402.72,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-05 09:00:00
TXN_000011,ACC_000001,CREDIT,3054.06,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-06 09:00:00
TXN_000035,ACC_000002,CREDIT,3546.81,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-06 09:00:00
TXN_000062,ACC_000003,DEBIT,2199.74,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-06 09:00:00
TXN_000088,ACC_000004,DEBIT,3198.92,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-06 09:00:00
TXN_000114,ACC_000005,DEBIT,1908.40,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-06 09:00:00
TXN_000012,ACC_000001,DEBIT,775.80,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-07 09:00:00
TXN_000063,ACC_000003,CREDIT,1076.23,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-08 09:00:00
TXN_000089,ACC_000004,CREDIT,3094.31,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-08 09:00:00
TXN_000036,ACC_000002,CREDIT,1034.94,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-09 09:00:00
TXN_000115,ACC_000005,CREDIT,1171.44,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-09 09:00:00
TXN_000013,ACC_000001,DEBIT,2520.73,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-10 09:00:00
TXN_000064,ACC_000003,DEBIT,3742.81,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-10 09:00:00
TXN_000014,ACC_000001,CREDIT,2814.42,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-11 09:00:00
TXN_000090,ACC_000004,DEBIT,2463.17,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-11 09:00:00
TXN_000116,ACC_000005,CREDIT,2654.30,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-11 09:00:00
TXN_000015,ACC_000001,CREDIT,3532.69,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-12 09:00:00
TXN_000037,ACC_000002,CREDIT,2596.31,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-12 09:00:00
TXN_000065,ACC_000003,DEBIT,2938.07,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-12 09:00:00
TXN_000091,ACC_000004,CREDIT,2409.57,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-12 09:00:00
TXN_000038,ACC_000002,CREDIT,3751.85,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-13 09:00:00
TXN_000117,ACC_000005,CREDIT,1563.56,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-13 09:00:00
TXN_000016,ACC_000001,DEBIT,2724.90,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-14 09:00:00
TXN_000039,ACC_000002,CREDIT,1343.05,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-14 09:00:00
TXN_000017,ACC_000001,DEBIT,1743.45,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-15 09:00:00
TXN_000040,ACC_000002,CREDIT,3061.68,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-15 09:00:00
TXN_000066,ACC_000003,DEBIT,1041.79,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-15 09:00:00
TXN_000092,ACC_000004,CREDIT,2004.25,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-15 09:00:00
TXN_000118,ACC_000005,DEBIT,2127.46,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-15 09:00:00
TXN_000067,ACC_000003,CREDIT,2527.13,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-16 09:00:00
TXN_000018,ACC_000001,CREDIT,2631.96,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-17 09:00:00
TXN_000068,ACC_000003,DEBIT,700.08,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-17 09:00:00
TXN_000093,ACC_000004,DEBIT,3646.44,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-17 09:00:00
TXN_000041,ACC_000002,CREDIT,949.37,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-18 09:00:00
TXN_000119,ACC_000005,CREDIT,2289.11,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-18 09:00:00
TXN_000069,ACC_000003,CREDIT,699.08,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-19 09:00:00
TXN_000094,ACC_000004,CREDIT,2887.23,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-19 09:00:00
TXN_000120,ACC_000005,CREDIT,1493.25,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-19 09:00:00
TXN_000019,ACC_000001,CREDIT,1071.91,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-20 09:00:00
TXN_000070,ACC_000003,CREDIT,739.82,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-20 09:00:00
TXN_000095,ACC_000004,DEBIT,3230.41,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-20 09:00:00
TXN_000042,ACC_000002,CREDIT,1427.70,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-21 09:00:00
TXN_000020,ACC_000001,CREDIT,2896.15,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-22 09:00:00
TXN_000121,ACC_000005,DEBIT,826.86,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-22 09:00:00
TXN_000021,ACC_000001,CREDIT,3317.66,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-23 09:00:00
TXN_000043,ACC_000002,CREDIT,3751.20,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-23 09:00:00
TXN_000071,ACC_000003,CREDIT,1913.21,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-23 09:00:00
TXN_000096,ACC_000004,CREDIT,3740.17,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-23 09:00:00
TXN_000072,ACC_000003,CREDIT,2667.84,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-24 09:00:00
TXN_000097,ACC_000004,CREDIT,3584.96,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-24 09:00:00
TXN_000022,ACC_000001,CREDIT,1238.44,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-25 09:00:00
TXN_000098,ACC_000004,DEBIT,3238.35,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-25 09:00:00
TXN_000122,ACC_000005,DEBIT,1286.24,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-25 09:00:00
TXN_000044,ACC_000002,CREDIT,2995.32,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-26 09:00:00
TXN_000123,ACC_000005,CREDIT,661.75,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-26 09:00:00
TXN_000073,ACC_000003,DEBIT,3771.47,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-27 09:00:00
TXN_000023,ACC_000001,DEBIT,1244.19,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-28 09:00:00
TXN_000099,ACC_000004,CREDIT,1433.82,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-28 09:00:00
TXN_000045,ACC_000002,DEBIT,2033.35,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-29 09:00:00
TXN_000100,ACC_000004,DEBIT,3552.58,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-29 09:00:00
TXN_000124,ACC_000005,CREDIT,2093.96,INR,Acme Traders,EXT_1000,IN,IMPS,2026-07-29 09:00:00
TXN_000024,ACC_000001,DEBIT,1000.05,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-30 09:00:00
TXN_000074,ACC_000003,DEBIT,1335.40,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-30 09:00:00
TXN_000025,ACC_000001,DEBIT,3114.55,INR,Acme Traders,EXT_1000,IN,NEFT,2026-07-31 09:00:00
TXN_000046,ACC_000002,CREDIT,1367.67,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-31 09:00:00
TXN_000075,ACC_000003,DEBIT,2100.29,INR,Acme Traders,EXT_1000,IN,UPI,2026-07-31 09:00:00
TXN_000125,ACC_000005,CREDIT,3014.21,INR,Acme Traders,EXT_1000,IN,NEFT,2026-08-01 09:00:00
TXN_000047,ACC_000002,CREDIT,2559.08,INR,Acme Traders,EXT_1000,IN,UPI,2026-08-02 09:00:00
TXN_000048,ACC_000002,CREDIT,525.17,INR,Acme Traders,EXT_1000,IN,IMPS,2026-08-05 09:00:00
TXN_000049,ACC_000002,CREDIT,1301.30,INR,Acme Traders,EXT_1000,IN,UPI,2026-08-08 09:00:00
TXN_000050,ACC_000002,CREDIT,2299.55,INR,Acme Traders,EXT_1000,IN,NEFT,2026-08-10 09:00:00
TXN_000126,ACC_000003,CREDIT,1500000.00,INR,Global Exports Ltd,EXT_5501,IN,WIRE,2026-09-02 09:00:00
TXN_000127,ACC_000001,DEBIT,9200.00,INR,Cash Deposit,CASH,IN,CASH,2026-09-03 10:00:00
TXN_000128,ACC_000001,DEBIT,9600.00,INR,Cash Deposit,CASH,IN,CASH,2026-09-03 14:00:00
TXN_000129,ACC_000001,DEBIT,9100.00,INR,Cash Deposit,CASH,IN,CASH,2026-09-03 19:00:00
TXN_000130,ACC_000001,DEBIT,9800.00,INR,Cash Deposit,CASH,IN,CASH,2026-09-04 01:00:00
TXN_000131,ACC_000004,CREDIT,500000.00,INR,Salary Advance,EXT_7010,IN,NEFT,2026-09-04 11:00:00
TXN_000132,ACC_000004,DEBIT,250000.00,INR,Vend One,EXT_7011,IN,WIRE,2026-09-04 17:00:00
TXN_000134,ACC_000005,DEBIT,45000.00,INR,Tehran Trading Co,EXT_9001,IR,WIRE,2026-09-05 09:00:00
TXN_000133,ACC_000004,DEBIT,180000.00,INR,Vend Two,EXT_7012,IN,WIRE,2026-09-05 17:00:00
TXN_000135,ACC_000002,DEBIT,40000.00,INR,Unknown Merchant,EXT_8800,IN,UPI,2026-09-06 12:00:00
TXN_000136,ACC_000002,DEBIT,40000.00,INR,Unknown Merchant,EXT_8801,IN,UPI,2026-09-06 13:00:00
TXN_000137,ACC_000002,DEBIT,40000.00,INR,Unknown Merchant,EXT_8802,IN,UPI,2026-09-06 14:00:00
TXN_000138,ACC_000002,DEBIT,40000.00,INR,Unknown Merchant,EXT_8803,IN,UPI,2026-09-06 15:00:00
TXN_000139,ACC_000002,DEBIT,40000.00,INR,Unknown Merchant,EXT_8804,IN,UPI,2026-09-06 16:00:00
TXN_000140,ACC_000002,DEBIT,40000.00,INR,Unknown Merchant,EXT_8805,IN,UPI,2026-09-06 17:00:00
